_id,razaoSocial,nomeFantasia,codigo,contato,cnpj
66c4d095af87a5f7873fe5a6, AMCOR FLEXIBLES BRASIL LTDA, AMCOR FLEXIBLES BRASIL LTDA,1001,2101-5000,5818423000137
66c4d095af87a5f7873fe5a7, ART MEDICA COMERCIO E REPRESENTACOES DE PRODUTOS, ART MEDICA COMERCIO E REPRESENTACOES DE PRODUTOS,1002, 2106-2433,2626340000158
66c4d095af87a5f7873fe5a8, ASTRAZENECA DO BRASIL LTDA., ASTRAZENECA DO BRASIL LTDA.,1003,3737-1200,60318797000100
66c4d095af87a5f7873fe5a9, BL INDUSTRIA OTICA LTDA, BL INDUSTRIA OTICA LTDA,1004,3238-2900,27011022001851
66c4d095af87a5f7873fe5aa, CIRURGICA FERNANDES, CIRURGICA FERNANDES,1005,4152-0534,61418042000131
66c4d095af87a5f7873fe5ab, CONTATTI COMERCIO E REPRESENTACOES LTDA, CONTATTI COMERCIO E REPRESENTACOES LTDA,1006,3343-5140,90108283000182
66c4d095af87a5f7873fe5ac, CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA, CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,1007,3863-9500,44734671000151
66c4d095af87a5f7873fe5ad, DENTAL OESTE EIRELI, DENTAL OESTE EIRELI,1008,3634-1047,5412147000102
66c4d095af87a5f7873fe5ae, E.C. DOS SANTOS COMERCIAL EIRELI, E.C. DOS SANTOS COMERCIAL EIRELI,1009,3904-4600,2136854000125
66c4d095af87a5f7873fe5af, HALEX ISTAR INDUSTRIA FARMACEUTICA SA, HALEX ISTAR INDUSTRIA FARMACEUTICA SA,1010, 3265-6500,1571702000198
66c4d095af87a5f7873fe5b0, HOSPFAR INDUSTRIA E COMERCIO DE PRODUTOS HOSPITAL, HOSPFAR INDUSTRIA E COMERCIO DE PRODUTOS HOSPITAL,1011,3269-3500,26921908000121
66c4d095af87a5f7873fe5b1, LABORATORIOS B BRAUN SA, LABORATORIOS B BRAUN SA,1012,2602-3324,31673254000102
66c4d095af87a5f7873fe5b2, MINISTERIO DA SAUDE, MINISTERIO DA SAUDE,1013,3152-425,394544000851
66c4d095af87a5f7873fe5b3, ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES, ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES,1014,5053-5616,4307650001298
