codigo	descricao	marca	__v
1	ANFOTERICINA B 50 MG - PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
2	POLIMIXINA B SULFATO 500000UI	indiferente	0
3	CISATRACURIO (BESILATO) 2 MG/ ML AMPOLA 5 ML - SOLUCAO INJETAVEL	indiferente	0
7	TEICOPLANINA 400 MG - PO LIOFILIZADO PARA SOLUCAO INJETAVEL	indiferente	0
8	LINEZOLIDA 2 MG/ ML BOLSA 300 ML - SOLUCAO PARA INFUSAO	indiferente	0
9	CEFEPIMA 2 G - PÓ PARA SOLUÇÃO INJETÁVEL	indiferente	0
11	DOBUTAMINA(CLORIDRATO) 12,5MG AMPOLA 20ML	indiferente	0
11	DOBUTAMINA(CLORIDRATO) 125MG AMPOLA 20ML	indiferente	0
12	NITROGLICERINA 5MGML 10ML	indiferente	0
13	SEVOFLURANO 1ML/ ML FRASCO 250 ML - SOLUCAO INALATORIA (PORT. 344/98 - C1)	indiferente	0
14	BROMOPRIDA 5MG/ML 2ML	indiferente	0
14	BROMOPRIDA 5MGML 2ML	indiferente	0
16	CIPROFLOXACINO 2 MGML BOLSA 100ML	indiferente	0
17	CEFAZOLINA SÓDICA 1 G - PÓ PARA SOLUÇÃO INJETÁVEL	indiferente	0
20	ACICLOVIR 250 MG - PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
21	ENOXAPARINA SODICA 80 MG, SERINGA PREENCHIDA 0,8 ML - SOLUCAO INJETAVEL	indiferente	0
22	ENOXAPARINA SODICA 60 MG SERINGA PREENCHIDA 0,6 ML - SOLUCAO INJETAVEL	indiferente	0
23	METRONIDAZOL 500MG BOLSA 100ML	indiferente	0
27	FILGRASTIM 300 MCG / ML FRASCO AMPOLA 1 ML	indiferente	0
27	FILGRASTIMA 300 MCG / ML FRASCO AMPOLA 1 ML	indiferente	0
28	PROPOFOL 10MG/ML SERINGA PREENCHIDA 50ML  (PORT. 344/98 - C1)	indiferente	0
29	ERTAPENEM SODICO 1 G - PO LIOFILIZADO PARA SOLUCAO INJETAVEL	indiferente	0
30	IMIPENEM MONOIDRATADO 500 MG + CILASTATINA SODICA 500 MG - PO PARA SOLUCAO INJETAVEL	indiferente	0
32	ÁGUA DESTILADA AMPOLA 10 ML - SOLUÇÃO INJETÁVEL	indiferente	0
33	ÁGUA DESTILADA FRASCO 500 ML - SOLUÇÃO INJETÁVEL	indiferente	0
34	ALBUMINA HUMANA 20% FRASCO AMPOLA 50 ML - SOLUÇÃO INJETÁVEL	indiferente	0
35	ALTEPLASE 50 MG + DILUENTE 50 ML - SOLUÇÃO INJETÁVEL	indiferente	0
36	ALPROSTADIL 20 MCG - PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
38	SULBACTAM SÓDICO 1 G + AMPICILINA SÓDICA 2 G - PÓ PARA SOLUÇÃO INJETÁVEL	indiferente	0
40	ANFOTERICINA B LIPOSSOMAL 50 MG - PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
41	ANIDULAFUNGINA 100 MG - PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	indiferente	0
42	ATROPINA 025MGML 1ML	indiferente	0
43	AZITROMICINA 500MG PO LIOFILIZADO P SOLUCAO INJETAVEL	indiferente	0
45	BORTEZOMIBE 3,5MG	indiferente	0
45	BORTEZOMIBE 35MG	indiferente	0
49	CEFTRIAXONA 1G IV FRASCO AMPOLA	indiferente	0
50	CETOPROFENO 100 MG AMPOLA	indiferente	0
52	CLINDAMICINA 150MGML 4ML	indiferente	0
53	CLONIDINA 01MG	indiferente	0
55	CLORETO DE POTASSIO 10% AMPOLA 10ML - SOLUCAO INJETAVEL	indiferente	0
56	CLORETO DE SODIO 20% AMPOLA 10ML - SOLUCAO INJETAVEL	indiferente	0
58	CONTRASTE IODADO NAO IONICO 300MGML FRASCO-AMPOLA 100ML - S	indiferente	0
61	DAPTOMICINA 500MG PO LIOFILIZADO INJETAVEL	indiferente	0
64	DEXAMETASONA 4MGML 25ML	indiferente	0
65	DEXTROCETAMINA 50MGML 10ML	indiferente	0
67	DIPIRONA 500MGML 2ML	indiferente	0
68	DOPAMINA 5MGML AMPOLA 10ML - SOLUCAO INJETAVEL	indiferente	0
70	ENOXAPARINA SODICA 20MG02ML SERINGA PREENCHIDA - SOLUCAO IN	indiferente	0
71	ENOXAPARINA 40 MG / 0,4 ML SOLUCAO INJETAVEL	indiferente	0
73	EPINEFRINA 1MGML AMPOLA 1ML - SOLUCAO INJETAVEL	indiferente	0
75	ETOMIDATO 2 MG/ ML AMPOLA 10 ML - SOLUÇÃO INJETÁVEL (PORT. 344/98 - C1)	indiferente	0
